tract,population,native white,foreign white 1,foreign white 2,people per household,median income per household,mean income per household,income per capita,geometry
1,23016,9118,9732,3518,,,,,
2,20856,7142,9058,4530,,,,,
3,21324,8989,8988,3235,,,,,
4,38078,7203,14067,15189,,,,,
5,26096,6717,6252,7945,,,,,
6,20044,5351,3639,4538,,,,,
7,20418,7991,6584,4022,,,,,
8,25749,6996,9723,8636,,,,,
9,24477,8138,9808,6530,,,,,
10,21432,7074,9990,4278,,,,,
11,24545,8715,11211,4313,,,,,
12,25396,10267,10079,3982,,,,,
13,29360,12886,12138,4231,,,,,
14,24613,9248,11444,3847,,,,,
15,20095,8717,7537,3120,,,,,
16,20868,7772,5995,2900,,,,,
17,24610,10353,4523,2830,,,,,
18,21422,8011,9820,3337,,,,,
19,21627,7971,7118,3205,,,,,
20,22662,10218,8319,3266,,,,,
21,22909,9874,9833,2829,,,,,
22,22267,8713,7686,2746,,,,,
23,23227,10732,6666,2947,,,,,
24,33170,14926,11125,6461,,,,,
25,25993,13973,8154,3212,,,,,
26,22887,10727,7923,2694,,,,,
27,33867,16663,12312,4574,,,,,
28,26021,15351,7227,2791,,,,,
