tract,population,native white,foreign white,people per household,median income per household,mean income per household,income per capita,geometry
1,24931,21455,2945,,,,,
2,20435,10985,3268,,,,,
3,20297,17946,2105,,,,,
4,28270,15909,8604,,,,,
5,19294,9848,4719,,,,,
6,16502,6348,2342,,,,,
7,17216,13139,2326,,,,,
8,20652,14622,5577,,,,,
9,21615,16551,5026,,,,,
10,20416,17232,3162,,,,,
11,28870,25026,3704,,,,,
12,30931,26259,3883,,,,,
13,48252,43281,4888,,,,,
14,27568,24276,3230,,,,,
15,22669,18863,2589,,,,,
16,21596,10799,1370,,,,,
17,25561,10393,1731,,,,,
18,20889,17897,2490,,,,,
19,23953,13313,5119,,,,,
20,24443,19785,2733,,,,,
21,30900,27947,2686,,,,,
22,26152,17907,2698,,,,,
23,28647,21066,2586,,,,,
24,47191,39536,7045,,,,,
25,32935,27251,3554,,,,,
26,27027,21309,2727,,,,,
27,50040,43705,6034,,,,,
28,45645,40728,4098,,,,,
