tract,population,people per household,median income per household,mean income per household,income per capita,geometry
0001-A,3622,3.36,6663,,,"POLYGON ((-90.26232272081634 38.55833521681151, -90.26712929034474 38.56084613937391, -90.27286556435324 38.55580025282109, -90.27390855902408 38.55609190763217, -90.27733003313716 38.55618171976299, -90.27889775160057 38.55660096173082, -90.28309244395581 38.5596907195822, -90.28693716336986 38.55556308894285, -90.2862315769067 38.55522343632562, -90.28522173200861 38.55485064910785, -90.28422734517443 38.55435975815217, -90.28341453641535 38.55385532291589, -90.28288727008517 38.55353033908579, -90.28140305350315 38.55243719690682, -90.28064616498831 38.55206644529142, -90.28015902923396 38.55177053551738, -90.27961258581072 38.55125681403618, -90.2791086787071 38.5509431875404, -90.27763609500761 38.55026440218484, -90.2756137681113 38.5497528783955, -90.27511088161647 38.54943757275375, -90.27382223281417 38.54914647157741, -90.27340476002611 38.54886660129805, -90.26232272081634 38.55833521681151))"
0001-B,4165,3.32,6720,,,"POLYGON ((-90.28308196184248 38.55967338340729, -90.27893108876285 38.55660058060077, -90.27733470647465 38.55618065140661, -90.27392397459722 38.55609122695132, -90.27286122061824 38.55580088372305, -90.26713610893552 38.56083816654112, -90.27299055269786 38.56389234944562, -90.269737233802 38.56774139279709, -90.27374513270574 38.56982867864493, -90.28308196184248 38.55967338340729))"
0001-C,5890,2.85,6526,,,"POLYGON ((-90.26974240190469 38.56773261123722, -90.27296989647958 38.56390198200216, -90.25930391826094 38.55676443868909, -90.25873176913008 38.55747907259057, -90.25804821556267 38.5582540890261, -90.25729735184575 38.55894925179692, -90.25655376930283 38.55949226565858, -90.25585613775733 38.55988817604494, -90.25521461050093 38.56019374496801, -90.25960084250156 38.56247282812967, -90.25440973796083 38.56854842643553, -90.26911360190917 38.57631380188137, -90.26955330036958 38.57515586415415, -90.27096050367645 38.57294549684899, -90.27146833871149 38.57233163856417, -90.27374684904726 38.5698372028099, -90.26974240190469 38.56773261123722))"
0001-D,4861,2.91,5838,,,"POLYGON ((-90.25443648544207 38.56850208326034, -90.25959079514898 38.56247046169278, -90.25522993951596 38.56019210271536, -90.25656729909483 38.55946550324373, -90.25730548848496 38.55893869160106, -90.25803744420281 38.55826348186393, -90.25868654589442 38.55753445702627, -90.25930043786894 38.55675853485301, -90.25613346789736 38.55511451277579, -90.25599305844854 38.55503485389816, -90.25342998347334 38.55728831559658, -90.25191489530764 38.55843395641839, -90.25047011650219 38.56015823083347, -90.24831474708409 38.56277257375037, -90.24811735955606 38.56299451771547, -90.24668027211698 38.56215005306468, -90.24698310540946 38.56258591036294, -90.24652388992138 38.56334362544897, -90.24660075696453 38.56364035776372, -90.24629548090745 38.56427622048956, -90.25443648544207 38.56850208326034))"
0001-E,4734,3.05,4867,,,"POLYGON ((-90.26096980951348 38.55066206619656, -90.25618785937711 38.55511712262229, -90.26231159611001 38.55834466565998, -90.2734156120126 38.5488665781462, -90.27301387661038 38.5487472176631, -90.27231720594614 38.54756761410687, -90.27213384737358 38.54659095291763, -90.27172105601923 38.54564481012396, -90.2715220041506 38.54454068812774, -90.27101336278373 38.54326471417996, -90.27080489667632 38.54295391989053, -90.27050460972892 38.54145429906485, -90.27111602541864 38.54066254468641, -90.27152030524996 38.53963982114114, -90.27070698978956 38.53864618430772, -90.26941436801684 38.53775169383707, -90.26915821815859 38.53753529584635, -90.25709053901768 38.54815600306102, -90.26096980951348 38.55066206619656))"
0001-F,2086,3.35,5005,,,"POLYGON ((-90.25709386945016 38.54815473479042, -90.26915947992559 38.53753279265106, -90.26871544871483 38.53715047948233, -90.26690916091364 38.53415567493586, -90.26230971537754 38.53384971262454, -90.26087356540913 38.53324823129945, -90.25911958160576 38.53529930556875, -90.25861046664906 38.53558680197079, -90.25730249735794 38.53789844989536, -90.25686310408754 38.5381617488526, -90.25633359889403 38.53899718564551, -90.25554385440574 38.5395438086458, -90.25530107893719 38.54022181747946, -90.25217935650846 38.54488713332069, -90.25220755119783 38.54591102334336, -90.25205326024988 38.54635335466995, -90.25442979825027 38.54750852890946, -90.2551459354452 38.54686718817936, -90.25709386945016 38.54815473479042))"
0001-G,5073,2.99,4523,,,"POLYGON ((-90.2418716752794 38.55945470198879, -90.24316223497662 38.5602715174297, -90.24811247197373 38.56298825533403, -90.25191371091532 38.55843168985847, -90.25346776101628 38.5572370897243, -90.25599051449014 38.55501958394977, -90.25613429051531 38.55510003347555, -90.26095375788162 38.55065707771888, -90.25514809670193 38.54686812675509, -90.25443039197677 38.54749996366485, -90.25220838177957 38.54643319557957, -90.25195301354826 38.5469233477987, -90.25182266061404 38.54714817425135, -90.25166909756489 38.54752418896413, -90.25141836503458 38.54771562844282, -90.25099597387077 38.54801440176931, -90.25074603977771 38.54825854588248, -90.25046868445779 38.54868991917366, -90.25016848193501 38.54928355584359, -90.25015151784811 38.54989475281118, -90.24706222663147 38.55325057947668, -90.24654376258091 38.55378775146494, -90.24544629195523 38.5552157676576, -90.24516661777315 38.55602297551131, -90.2418716752794 38.55945470198879))"
0002-A,3664,2.41,6129,,,"POLYGON ((-90.29695291102263 38.56242016011525, -90.29417175546111 38.56426588420547, -90.28627595223023 38.56906798012706, -90.28508779296956 38.57011918791439, -90.29171554161447 38.57376730948079, -90.3104500967724 38.5756786152337, -90.3072325361214 38.57257793649934, -90.30519438695737 38.57062354657848, -90.30387964362482 38.56920316742469, -90.29695291102263 38.56242016011525))"
0002-B,8779,2.9,7312,,,"POLYGON ((-90.28379212952723 38.57132256091116, -90.28455039056627 38.57388685678116, -90.28447254532587 38.57415073087245, -90.28286769133112 38.57725885670303, -90.2821573377518 38.57842952371337, -90.28155796238028 38.57896981271711, -90.28095693544162 38.57932889969498, -90.27983969762828 38.57983674205356, -90.27938337634784 38.58024121663556, -90.2788598546836 38.58094578737922, -90.2919202698782 38.58229625663831, -90.29582333069254 38.58161480043538, -90.31568827830208 38.58375592783038, -90.3147491298685 38.58160180715761, -90.3144322505326 38.58116108542454, -90.31401469941352 38.5797414754168, -90.31360909534433 38.57885944014376, -90.31045008397622 38.5756810925457, -90.29171583317023 38.57377952012703, -90.28509992057349 38.57011363472137, -90.28379212952723 38.57132256091116))"
0002-C,2978,3.16,6764,,,"POLYGON ((-90.28693547569112 38.55557347174546, -90.28306393595295 38.55970610710402, -90.27721737982945 38.56604890600047, -90.28038499572777 38.56731465875478, -90.28520204481478 38.57000759531683, -90.28628461801794 38.56904984683494, -90.29073404075845 38.5663466071471, -90.29415653097405 38.56426234386331, -90.29585850920144 38.56310618480287, -90.29696118268197 38.56240893011596, -90.29327556017746 38.55963613160497, -90.29242197286547 38.55897548473521, -90.28693547569112 38.55557347174546))"
0002-D,3325,2.9,5813,,,"POLYGON ((-90.28378414273433 38.57133158278128, -90.28250714489792 38.57251593964769, -90.27579785200233 38.57669775183298, -90.27445578665574 38.57731592155397, -90.27340947960859 38.57754068540709, -90.27204010849289 38.57785397574699, -90.26910821476591 38.57632287140812, -90.2683114154747 38.5786442749945, -90.26965988071639 38.57933810763335, -90.2698097352658 38.57916596549843, -90.27049036857316 38.57960744818705, -90.27076421035171 38.57969660421942, -90.27574149870776 38.57974410741915, -90.27708782841714 38.58072964909352, -90.27884917050255 38.5809461466911, -90.27936357843488 38.58027343148181, -90.27983657934335 38.579844482648, -90.28100225869554 38.57931940436795, -90.28156272495302 38.57897472879367, -90.2821529848528 38.57843422740586, -90.28286350276254 38.57725889432616, -90.28400292443918 38.57509116007468, -90.28448061326498 38.57414396116661, -90.28455114244271 38.57389099707183, -90.28378414273433 38.57133158278128))"
0002-E,2685,2.74,5849,,,"POLYGON ((-90.28037723601173 38.56732343939691, -90.27723448134503 38.5660481298355, -90.27374163342104 38.56984839844028, -90.27101832263205 38.57280443118833, -90.2695390862622 38.57515382577201, -90.26912745228601 38.57632139427789, -90.27204179708356 38.5778506807406, -90.27426197892159 38.57734258290218, -90.27485730644953 38.57714853793798, -90.27623457398317 38.57644081178915, -90.27965535637452 38.57433145177516, -90.28048186341023 38.57382519161005, -90.28208453157757 38.57282708251989, -90.28247056598727 38.57253049115228, -90.2851924422245 38.57001091673283, -90.28037723601173 38.56732343939691))"
0003-A,4329,2.71,7279,,,"POLYGON ((-90.31568034023411 38.583755324428, -90.30453750760833 38.58254949993029, -90.30301802480388 38.59188897414669, -90.30209675258091 38.59236176724892, -90.31609383398117 38.59385229858268, -90.31645804118843 38.59205265857823, -90.31956014986996 38.59222099485577, -90.31950626072975 38.59214333782445, -90.31922404849433 38.59126757545127, -90.31859137159448 38.59010704102889, -90.31729897772217 38.58709665542276, -90.31629436821952 38.58489414408568, -90.31568034023411 38.583755324428))"
0003-B,5440,2.97,6968,,,"POLYGON ((-90.31613203876159 38.59385772703529, -90.30207224609467 38.59236338600615, -90.30055798799792 38.59745973478019, -90.30009736402263 38.60009973104437, -90.29891094025623 38.60267481227101, -90.30407464077859 38.60318958566522, -90.31007465165293 38.60383522867786, -90.31091413159452 38.60300162338019, -90.31161958936214 38.60215889157871, -90.31273282526318 38.6011392984657, -90.31349992569766 38.60066192978669, -90.31485770036325 38.60009593582792, -90.31540362731759 38.59993846498386, -90.31537766700156 38.59949783697164, -90.31553714521719 38.59904337105441, -90.31571432484276 38.5980802473371, -90.31576636580792 38.5974739542117, -90.31573598359472 38.59689683604292, -90.31570107249091 38.59633720031562, -90.31572361141647 38.59595765769149, -90.31613203876159 38.59385772703529))"
0003-C,1327,3.37,6275,,,"POLYGON ((-90.31007205526872 38.60383439828784, -90.30762212603742 38.60357023176737, -90.30659835141837 38.60872716109341, -90.31017671075229 38.61053291333715, -90.31095450284768 38.60927399828388, -90.31132559663577 38.60940236578012, -90.31428259997764 38.60973654357333, -90.31531818580477 38.60745757740029, -90.31570790945678 38.60625492458893, -90.3164038226945 38.60488702295422, -90.31692548607015 38.60291923843248, -90.31740413014501 38.60196806432068, -90.31777253514937 38.60069413559452, -90.31825546056226 38.59955381084036, -90.31840994074702 38.59916456320313, -90.31890645505065 38.5987483556326, -90.31881506413349 38.59856391145792, -90.32050897789935 38.59414557432126, -90.32021458118957 38.59313137068996, -90.31956506446829 38.59221362984835, -90.31645814826477 38.59205334368701, -90.31574198661764 38.59585031672862, -90.31570796312715 38.59643205139127, -90.31575969431124 38.59769130977782, -90.31568167286537 38.59829490235049, -90.31556592286452 38.59898224770848, -90.31539878478624 38.5995039342623, -90.31542301194328 38.59992113198152, -90.31484193413037 38.60009473008042, -90.31336827508667 38.60070899952156, -90.3127282759397 38.60112558519352, -90.31164564772604 38.60213737120296, -90.31084617028439 38.60308881275257, -90.31007205526872 38.60383439828784))"
0003-D,3603,3.23,5739,,,"POLYGON ((-90.30406909569966 38.60319410399122, -90.29889275627731 38.60268605201651, -90.29804296083383 38.60384896520547, -90.2977898209005 38.60420716153023, -90.29731641253856 38.60455334472898, -90.29678663076174 38.60480309915689, -90.29620605619041 38.6076992291302, -90.29587252473749 38.60941083953102, -90.29647777282139 38.60946470881517, -90.29684720270903 38.60949176911009, -90.29674151972009 38.61000716010916, -90.29650132435221 38.61131269902657, -90.29633880433512 38.61260933067597, -90.29844113969239 38.61236860665873, -90.29936927716501 38.61234120595675, -90.30007894859391 38.61247497236439, -90.30065908517504 38.61288537577537, -90.30167950558787 38.613486129247, -90.3023953801343 38.61352113392764, -90.30394526199821 38.61239087716921, -90.30498288259689 38.61160624554184, -90.30577827538394 38.61090774508125, -90.30729406328831 38.60913595688864, -90.30659858561985 38.60873114019985, -90.30762282539573 38.60357109759072, -90.30406909569966 38.60319410399122))"
