name,geometry
Missouri Botanical Garden,"POLYGON ((-90.25652038209705 38.61662657089406, -90.25944154462036 38.61692327703543, -90.25966473501971 38.61623185533365, -90.2604694014735 38.61505253432804, -90.26231595627767 38.61247119067491, -90.26255044773012 38.6119087226613, -90.26292252887075 38.60932162411183, -90.25805515867788 38.60886669211988, -90.25748763812847 38.61159773186798, -90.25652038209705 38.61662657089406))"
O'Fallon Park,"POLYGON ((-90.21944562452823 38.68376422514008, -90.22017779326814 38.6838705679282, -90.22108785134257 38.68389775379666, -90.2218580209156 38.68386668922187, -90.22264400429235 38.68367091425004, -90.22404474551028 38.68335325485636, -90.22511229659949 38.68311796346062, -90.22580329878774 38.68298798657064, -90.22617709942809 38.6826216547742, -90.2261087188015 38.68240273805305, -90.2256943858153 38.68214456521102, -90.22533529857419 38.68187704711345, -90.22495200091895 38.68141633168363, -90.22459880599678 38.68076434978158, -90.22421014613487 38.68001644026889, -90.22406397173516 38.67973391130944, -90.22385789665432 38.67933272185393, -90.22374311857038 38.67916477813913, -90.22242296408739 38.67771056061535, -90.22146856717811 38.6766068960339, -90.22096316238915 38.67687915916207, -90.21790202661195 38.67850719101654, -90.216456345315 38.67687087794684, -90.21155019384675 38.67952496388529, -90.2134306402076 38.68069243187269, -90.2141195597094 38.6811187505474, -90.2152063918047 38.68174307616004, -90.21682990784247 38.68275757595765, -90.21749614324263 38.6831247390519, -90.21813339514378 38.68339397755725, -90.21868601623963 38.68358560150001, -90.21944562452823 38.68376422514008))"
Forest Park,"POLYGON ((-90.30094339598743 38.6476457688884, -90.30129809249323 38.64561591443593, -90.30160577760141 38.64440561781841, -90.30206076783159 38.64324400533631, -90.30268527989357 38.64146429787371, -90.30307606844019 38.63993656283199, -90.30330275024355 38.63879590119815, -90.3035957604245 38.63672506016986, -90.30385023968017 38.63521382057377, -90.30424911825349 38.63369150215458, -90.30452429836973 38.63262978600796, -90.30432125865799 38.63262499551622, -90.28573846860917 38.63080577540709, -90.26453277351462 38.62878831161152, -90.26458543484823 38.62933618447722, -90.26480582492871 38.62988142027694, -90.26522243465045 38.63047161482681, -90.26573538651064 38.63131733862434, -90.26616325780783 38.63219756887468, -90.26646345361311 38.63403087352662, -90.26635785633285 38.63560418191597, -90.26598048267314 38.6376388520684, -90.26482927134388 38.64404485506338, -90.2709698599506 38.64466200406297, -90.27463678059677 38.64504671151611, -90.29484614520321 38.64699824386307, -90.30094339598743 38.6476457688884))"
Belfontaine/Calvary Cemetery,"POLYGON ((-90.24404754541395 38.71225321191512, -90.24942606509484 38.70676383205245, -90.22984872362261 38.68420573272776, -90.22889873575096 38.68363726145841, -90.22175928382407 38.68735987183285, -90.22262756823591 38.68837679735716, -90.22320571796568 38.6893227708331, -90.22412184960471 38.69150588960617, -90.225247950206 38.69420135216689, -90.22605009939421 38.69586391981987, -90.22779568022904 38.6989644321749, -90.22939334038996 38.70256961922552, -90.22985618200515 38.70357362441192, -90.23001996523018 38.70433081321912, -90.23012532343634 38.7052838695619, -90.23163023470204 38.70669161370779, -90.23291234047117 38.70765940478912, -90.23434380983716 38.70857527377206, -90.23565272766683 38.70924608858237, -90.23740797867195 38.70998440454531, -90.23999350819504 38.71091502185429, -90.24404754541395 38.71225321191512))"
Fairground Park,"POLYGON ((-90.22627811689297 38.67006844072147, -90.2288654436271 38.66644927535425, -90.21673728497697 38.66113155504176, -90.2142041788121 38.66476847773488, -90.22627811689297 38.67006844072147))"
Tower Grove Park,"POLYGON ((-90.268160565919 38.60967567399537, -90.2690354510934 38.60533094968922, -90.26900725510642 38.60521961398361, -90.26889264367725 38.60514422420064, -90.26877111907677 38.60511958231743, -90.26672967651093 38.60521580696434, -90.25914174607028 38.60451183419475, -90.25290266799067 38.60391093589757, -90.24653696038851 38.60331558276117, -90.24256200946643 38.6029421598412, -90.24245812860282 38.60295026587102, -90.24242107362947 38.6030221973726, -90.24154726314379 38.60712056480366, -90.24155673520224 38.60714426316038, -90.24158019947733 38.60716231464275, -90.24161274663545 38.60717099648423, -90.25012301290127 38.60797835891512, -90.268160565919 38.60967567399537))"
Wilmore Park,"POLYGON ((-90.30246520477388 38.57480316499016, -90.30759375289728 38.57505136971169, -90.30949394081965 38.57474659141469, -90.30364287416219 38.56899184921878, -90.29696724088483 38.56238723448932, -90.29004215034065 38.56678919019122, -90.2961993764532 38.57005636443233, -90.29915284317488 38.57166624331049, -90.30034106415417 38.5723362584355, -90.30114075501393 38.57296511738253, -90.30169119894794 38.57353632526213, -90.30215767157938 38.57419178475421, -90.30246520477388 38.57480316499016))"
Carondelet Park,"POLYGON ((-90.26976595300115 38.56778255679169, -90.27305827708778 38.56392656611764, -90.25922439601054 38.55673266867048, -90.25849484361062 38.55770204364261, -90.25778762046745 38.5584542646978, -90.25707273488668 38.55910022322247, -90.25618540960349 38.55967973335461, -90.25523187491228 38.5601739237593, -90.26976595300115 38.56778255679169))"
Penrose Park,"POLYGON ((-90.24328478843059 38.68407461625074, -90.24299279519488 38.68410510163167, -90.24281220054938 38.6840928888675, -90.24359316980483 38.68442746233229, -90.24672565956729 38.68424480780182, -90.24737702161717 38.68425032319289, -90.24774038421259 38.68289778566054, -90.24804272129816 38.68203684699296, -90.24817902410355 38.68183421144826, -90.24686219225006 38.68127400820264, -90.24600007968074 38.68238446499939, -90.24512821447381 38.68285607793076, -90.24442936105605 38.68346215783392, -90.24395669684995 38.68376766898053, -90.24328478843059 38.68407461625074))"
river,"POLYGON ((-90.17562055392068 38.77291360890879, -90.17629568378915 38.7717260274449, -90.17755742244944 38.7689599121774, -90.1785674652528 38.76604174809312, -90.1803909057861 38.76198967069087, -90.18164697535455 38.75886502173523, -90.18225712312359 38.7559285636284, -90.18575248754961 38.75108964558468, -90.18761040278251 38.74901161811719, -90.18988047336195 38.74763998464246, -90.1942495701437 38.74499556167672, -90.19859559014674 38.74249399503427, -90.20292524892812 38.739850920016, -90.20612465935875 38.73755354743293, -90.20983073035347 38.7345655959143, -90.21103241595021 38.73311016923471, -90.21181897658103 38.73276623880904, -90.21292674606133 38.7313310683746, -90.21405907776617 38.72907455066371, -90.21387521312597 38.72799624240655, -90.21475658589978 38.72544829230898, -90.21586813082584 38.72240034738257, -90.21713307679926 38.71539924762671, -90.21683764936938 38.71121775492892, -90.21467518499321 38.70484645259686, -90.21288629658739 38.70239549075275, -90.21181957500943 38.70183289952496, -90.21158182315142 38.70091619170591, -90.21094510179501 38.7000310620833, -90.20903165509276 38.69763217941352, -90.20719666426579 38.69538563017439, -90.20596910097979 38.69290381117965, -90.20514026014695 38.69175617315425, -90.202702024169 38.68921407992283, -90.19983623017457 38.68683328459094, -90.19831733716471 38.68584321405142, -90.19726415371399 38.68442589311698, -90.19594203298847 38.68322359454581, -90.1943612968324 38.68129628455786, -90.19324031825452 38.67975639454875, -90.19208890069557 38.67837767367138, -90.19110103904055 38.67707297848489, -90.18984344718517 38.6756505366, -90.18969860720587 38.67453166028898, -90.18930510922957 38.67383778845591, -90.18906459964715 38.67268946130141, -90.18837541973581 38.66996517757499, -90.18819336770726 38.66871304149628, -90.18794295148869 38.66822229952877, -90.18765061950084 38.66797446591691, -90.18765533699562 38.667492993595, -90.18732030393163 38.66647866741577, -90.18675014577276 38.66517322951631, -90.18643235028091 38.66499061854443, -90.18565340698963 38.66273958818651, -90.18535550028065 38.66211332164394, -90.18501491172984 38.66114014183417, -90.18511889506297 38.65999842497914, -90.18454007340142 38.65833490343977, -90.18377947191563 38.65524449805676, -90.18340753227798 38.65461186867178, -90.18314670415039 38.654473179566, -90.18267537274971 38.65286122159516, -90.18197264480604 38.6491840584767, -90.18215773211683 38.6488968474514, -90.18204298793181 38.6458995498617, -90.18157833546836 38.64358174995901, -90.18098372065367 38.6406154054343, -90.18061096153852 38.63665346362878, -90.18123803918729 38.63191218429918, -90.18540783821227 38.61985427424601, -90.18700439274589 38.61581313185762, -90.18679938182309 38.61550652485857, -90.18770925728553 38.61343958536465, -90.18782770942963 38.61258708655776, -90.18932883628096 38.61010117714228, -90.19035565525219 38.60871772729798, -90.19115384795732 38.60648711645116, -90.19492387263968 38.60027232631816, -90.1979448885164 38.59691134886256, -90.20212344018974 38.59289825762916, -90.2055068086171 38.59026247688626, -90.20818200686705 38.58816722258283, -90.21372897670732 38.58481717288362, -90.21485506374287 38.58372115252858, -90.21811798376291 38.58208802684861, -90.22010025283976 38.58041780956813, -90.22116277353786 38.57979985084676, -90.22484110063411 38.57736572486409, -90.2285474151482 38.57415487284291, -90.22995220796126 38.57384346906778, -90.23029875849099 38.57328562371304, -90.23286689429509 38.57122277119674, -90.2346057378946 38.56869377080043, -90.23725274428496 38.56518498425264, -90.24000126856956 38.56193432680626, -90.24029640144157 38.56105496457497, -90.24188317652009 38.55945296435385, -90.2452004605 38.55596704297595, -90.24538960106335 38.55524714739141, -90.24659086759179 38.55371647895647, -90.25014080670202 38.54991081766047, -90.25013447110094 38.54927959164081, -90.25071662322978 38.54826745176116, -90.25144062061982 38.54774091156518, -90.25177437385773 38.54706751634019, -90.25219706976726 38.54590756699069, -90.2521587700941 38.54488018343864, -90.25528941137462 38.54021177436675, -90.25553357858638 38.53953238064451, -90.25632193213546 38.5389955458641, -90.25684433604511 38.53817811974569, -90.25729300551951 38.53787999366617, -90.25860946380065 38.53560021922895, -90.25914585730941 38.53527283059869, -90.25989643224469 38.5343463083035, -90.26086479148658 38.53323437523147, -90.25746856184765 38.53184615611286, -90.25420154304582 38.53020623182534, -90.25382591967973 38.53044553493572, -90.25284661634635 38.53285395999903, -90.25155952091202 38.53559220703982, -90.25027125815529 38.53804450329692, -90.24897907917504 38.54011395991667, -90.24720704816313 38.54190904946543, -90.24549669061047 38.54381495452532, -90.24397211925213 38.54623049019445, -90.2426048165722 38.54799192901477, -90.23887955184767 38.54997328112329, -90.23496655332117 38.55346906197477, -90.23211337678602 38.55742094085075, -90.22803208756525 38.56312030227897, -90.22624042101103 38.56538449578838, -90.22439446226426 38.56754465808024, -90.22250263616257 38.56967195890681, -90.21922902912776 38.57326177053815, -90.21536216413979 38.5758645701638, -90.21395456305929 38.57725291604752, -90.21037650125035 38.57971140061292, -90.20881700435467 38.58175902884173, -90.20308155674195 38.58466591593508, -90.19982240522781 38.58613313074279, -90.1999375517252 38.58709499426357, -90.19702635335655 38.5892546296875, -90.19396689340189 38.59136441342083, -90.19175294627912 38.59396150571796, -90.19052496006815 38.59553133322618, -90.18888253838587 38.59684660668751, -90.18791271460393 38.59916009862203, -90.18672811067272 38.60123848055292, -90.18647483900251 38.60284046394252, -90.18496319447357 38.60459891397313, -90.18368324178867 38.60522823867911, -90.18256064946515 38.60710678372352, -90.18179337073705 38.61048170317494, -90.18099121702247 38.61354125721697, -90.17933044057817 38.61674605242745, -90.17746603592293 38.6223260491005, -90.17650052361027 38.62649862269689, -90.17490967042723 38.63033101479971, -90.17449216526801 38.63469266179295, -90.17444229027207 38.64114599440763, -90.1743713502299 38.644589920998, -90.17565620891477 38.64873531066186, -90.17489910225707 38.65251851839474, -90.17590537676001 38.65643281738586, -90.17754210065726 38.66082676517259, -90.17984395005256 38.66599097343075, -90.18096967287565 38.67110006132737, -90.18414299941193 38.67653738703673, -90.18861389772398 38.68452156525833, -90.19051894213895 38.68644725234807, -90.19131195955083 38.68710053015499, -90.19221246351562 38.68958457275539, -90.19270060459638 38.69242605364344, -90.192538217825 38.69439205142494, -90.1929397147961 38.69818180013064, -90.19321930234335 38.70172441986463, -90.19354686567857 38.70482436155646, -90.19280370460073 38.70666367333208, -90.19226075734807 38.70812301107444, -90.1914715032113 38.71038428127905, -90.19056555619332 38.71250673630526, -90.1897143597355 38.71310080363643, -90.1888389769821 38.71464610260687, -90.18790974234514 38.71647171519469, -90.18731747910086 38.71880370508718, -90.18637162113558 38.7208388355535, -90.18486185781245 38.72275735285898, -90.18371058168809 38.72402825594041, -90.18293673237936 38.72524197877844, -90.1830141611287 38.72564131384627, -90.18284724795802 38.72599380043729, -90.18245238836788 38.72668512437928, -90.18199108950597 38.72734315013539, -90.1814319464425 38.72767607677611, -90.18199907256383 38.72814108778054, -90.18210760662443 38.72886755154204, -90.18154413152692 38.73007392449819, -90.18085172681508 38.73073650852459, -90.18123612406333 38.73120624094327, -90.18126331906512 38.73265678419946, -90.18105914680557 38.73316912296861, -90.1807087067849 38.73348140170477, -90.18088933392794 38.73373305009922, -90.18090739838343 38.7341461092776, -90.18069264614334 38.73482905328208, -90.18032919186724 38.73539069408069, -90.18049868765198 38.73604508737445, -90.18081391375981 38.73627472668286, -90.18063280113195 38.73686476356477, -90.17988152943768 38.73746666260998, -90.17920021831706 38.73842745854232, -90.17875895893634 38.73913726708898, -90.17888312359538 38.74007294219917, -90.179269254689 38.74108900329056, -90.17968517261424 38.74167680595615, -90.17934113187719 38.742017651436, -90.17963328622847 38.7423950297282, -90.1802022543835 38.74361468909027, -90.17905242044786 38.74473839844437, -90.17728679759563 38.74600572722056, -90.17605837887123 38.74618388853003, -90.1756727940603 38.74644140273175, -90.17576188968427 38.74679900322216, -90.17540474826531 38.7469927817821, -90.17371877496537 38.74845973628194, -90.17244903865779 38.75042070336413, -90.17187943508502 38.75231495458163, -90.1709966393794 38.75606424871225, -90.17142059120634 38.75758133345676, -90.17104531125671 38.75892668189186, -90.17040904495646 38.76032987679678, -90.16976058702197 38.76093874075064, -90.16884359124685 38.76143152733413, -90.16816995282844 38.76293149652476, -90.16686065567002 38.76424888819772, -90.16499841849226 38.76614111937295, -90.16267218809223 38.76824392903443, -90.16193427526154 38.76948645875756, -90.15936732758325 38.77130093700134, -90.17509112618077 38.77344411360696, -90.17562055392068 38.77291360890879))"
